study_hours,score
1.2,43
8.7,86
4.5,57
6.3,72
2.8,48
9.1,88
5.6,66
3.4,51
7.8,78
1.9,41
6.9,70
4.1,59
8.3,82
2.3,47
5.2,61
9.6,94
3.7,54
7.1,73
1.5,38
4.8,63
8.9,91
2.6,44
6.1,68
5.9,65
3.2,52
7.6,77
9.3,89
1.8,42
4.4,56
6.7,71
2.1,45
8.1,84
5.4,64
3.9,53
7.3,76
9.8,96
1.3,39
4.7,60
6.5,69
2.9,50
8.5,83
5.1,62
3.5,49
7.9,80
9.2,87
1.7,40
4.2,55
6.8,74
2.5,46
5.7,67
8.8,90
3.1,48
7.4,75
9.5,92
1.1,36
4.9,58
6.2,70
2.7,47
8.0,81
5.3,63
3.8,55
7.7,79
9.0,85
1.6,41
4.3,57
6.6,72
2.2,43
8.4,86
5.8,65
3.6,52
7.2,74
9.7,95
1.4,37
4.6,61
6.4,68
2.4,45
8.6,87
5.0,60
3.3,50
7.5,77
9.4,90
1.9,44
4.0,54
6.0,67
2.8,49
8.2,82
5.5,64
3.7,53
7.0,71
9.1,89
1.2,38
4.5,59
6.9,73
2.6,46
8.9,88
5.2,62
3.4,51
7.8,80
9.6,93
